Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,07/17/10,07/12/10,"Phoenix Stamping Group LLC, Atlanta, GA 30336","Worker was on a scissor lift, stripping electrical wires, and was noticed lying on the floor of the bucket of the scissor lift. Worker was electrocuted."
FY 2010,07/17/10,07/13/10,"Advance Pipe Bending & Fabricating Co., Huntington Park, CA 90255",Worker fell from a pallet that was elevated eight feet above the ground by a forklift.
FY 2010,07/17/10,07/13/10,"Reid Gardner Power Plant, Moapa, NV 89025",Worker's left arm was amputated while working near a conveyor. Emergency assistance was called but the employee was pronounced dead at the scene.
FY 2010,07/17/10,07/13/10,"Trinidad Drilling, Arlington, TX 76010",Worker was in the process of rigging up the cable that was holding up the rig. The cart and the top drive track fell. The cart struck the worker.
FY 2010,07/17/10,07/14/10,"Donaldson Enterprises Inc., Tallahassee, FL 32314",Worker was changing a flat tire on a business trailer. Worker was jacking up the trailer and the trailer fell onto the worker.
FY 2010,07/17/10,07/14/10,"Porter Cattle Co., Admire, KS 66830",Worker was in the process of moving between cattle pastures. Worker got out of the truck to open the gate and was struck by the truck.
FY 2010,07/17/10,07/14/10,"Shelley and Sands, Columbus, OH 43215","Worker was working on the roadway, milling a joint in front of a bridge, and was struck by a vehicle."
FY 2010,07/17/10,07/14/10,"Simcals Inc., Mount Miegs, AL 36057",Worker was doing electrical work on an overhead crane and was standing on the bridge of the crane by the control motors. Worker either had an electrical shock or a heart attack.
FY 2010,07/17/10,07/14/10,"Unknown, Blackfoot, ID 83221",Worker was performing weed abatement using an all-terrain vehicle and was found on his back with the vehicle across his chest.
FY 2010,07/17/10,07/15/10,"Bruce J. Koerner Crane & Equipment Inc., Rockaway, NJ 07866","Worker was working on the ground, contacted an energized wrecking ball, and was electrocuted."
FY 2010,07/17/10,07/15/10,"Dansville Hauling Corporation, Forestville, MD 20747",Worker stepped out of driver's door of dump truck and was struck by another dump truck that was backing up within the lane closure.
FY 2010,07/17/10,07/15/10,"MP Technologies, Bellville, TX 77418",Worker was installing a new wire for a 72 kV transmission line and was electrocuted.
FY 2010,07/17/10,07/16/10,"Westerchil Construction, Alexandria, LA 71301","Worker was cleaning up the jobsite by picking up lumber and other debris. He was seen lying on the ground unconscious, possible heat stroke."
FY 2010,07/24/10,04/22/10,"Tactical Cleaning, Commerce City, CO 80022",Worker was cleaning the inside of a rail car that previously had gas inside. A flash fire occurred and worker was burned.
FY 2010,07/24/10,05/24/10,"Phillips Construction, Pewaukee, WI 53072","Worker was preparing and pouring a concrete patio. Worker began to show signs of heat exhaustion/heat stress, lost consciousness."
FY 2010,07/24/10,07/04/10,"Whitestar Development Corporation, Niagara Falls, NY 14303",Worker fell into a compactor and was crushed.
FY 2010,07/24/10,07/12/10,"Streb Construction Co. Inc., Iowa City, IA 52244",Worker was run over by a dump truck while working as a laborer on a road construction project.
FY 2010,07/24/10,07/13/10,"TMK/IPSCO, Camanche, IA 52730",Truck driver was strapping down steel coils on his trailer when one of the coils fell off the truck and struck him.
FY 2010,07/24/10,07/15/10,"Randy Clanton Farms Inc., Hermitage, AR 71647","Worker was removing stakes and strings from the fields, and collapsed."
FY 2010,07/24/10,07/16/10,"Platinum Property Management, Ft. Myers Beach, FL 33931",Worker was standing on a ladder performing tree trimming and fell from the ladder.
FY 2010,07/24/10,07/17/10,"C & C Transload LLC, Tyler, TX 75702",Worker was transferring sand from a rail car into a truck using a conveyor belt loading machine. Fell onto the rotating conveyor belt and was caught inside the machine.
FY 2010,07/24/10,07/18/10,"Sunnybrook Golf Club, Plymouth Meeting, PA 19462","Worker fell off the back of a golf cart, hitting his head."
FY 2010,07/24/10,07/19/10,"CR&R Inc., Stanton, CA 90680","Worker was adjusting an hydraulic front-end bucket with a clamping device on a truck, when he was crushed between the bucket and clamping arm."
FY 2010,07/24/10,07/19/10,"Reclamation Sciences, LLC, Phoenix, AZ 85212",Worker was crushed between the boom of the backhoe and the stabilizer (outrigger) leg.
FY 2010,07/24/10,07/19/10,"Sohnrey Farms, Chico, CA 95928",Worker shooting squirrels was killed when hit by a falling limb.
FY 2010,07/24/10,07/20/10,"Newmar Corporation, Nappanee, IN 46550",Worker riding in the back of a pickup truck fell out of the truck and hit his head when the truck hit a bump.
FY 2010,07/24/10,07/21/10,"Accelerated Courier Inc., Bensenville, IL 60106",Worker was loading a truck and passed out.
FY 2010,07/24/10,07/21/10,"AEE Tecnica de Cayey, Cayey, PR 00737","Worker was servicing a utility pole to restore service to clients, came in contact with the energized part of an electric transmission line and was electrocuted."
FY 2010,07/24/10,07/21/10,"Conco Concrete Specialists, Whiteriver, AZ 85941",Worker fell into a blocklayers mortar mixer and was killed by revolving paddles.
FY 2010,07/24/10,07/22/10,"Arnolds Masonry Construction, Baton Rouge, LA 70808",Worker was climbing down from a scaffold to get water and fell from the scaffold.
FY 2010,07/24/10,07/22/10,"DOD Directorate of Logistics, Fort Hood, TX 76544","Worker was working under a forklift. The front being supported by two jackstands. He was removing a hydraulic cylinder, it fell on his hand. The jackstands became dislodged and the forklift fell on the worker, crushing his head and chest."
FY 2010,07/24/10,07/22/10,"Horsehead Corporation, Monaca, PA 15061",There was an explosion in B column. Two worker fatalities.
FY 2010,07/24/10,07/22/10,"Nichols Construction Company, Welch, WV 24801","Worker was working to install a fiberoptic line and became unconcious, possible heat stress."
FY 2010,07/24/10,07/23/10,"Northeast Energy Management Inc., Cheswick, PA 15024","Two workers were in the process of performing arc welding on a oil tank that contained 85 barrels of crude oil. The tank exploded. The workers were blown up to 60 feet from the pad of the oil tank, receiving fatal burns."
FY 2010,07/24/10,07/23/10,"Tennessee Steel Haulers, Dupo, IL 62239","Worker was standing by a flatbed trailer during loading operations and material rolled from the trailer, striking the worker."
FY 2010,07/31/10,07/17/10,"Milton Heard, Baltimore, MD 21218","Worker trapped in trench up to his waist, was struck in the head."
FY 2010,07/31/10,07/19/10,"Brazeway, Inc., Hopkinsville, KY 42240","Worker suffered an electric shock while operating a resistance welder. Hospitalized after injury, and died five days later."
FY 2010,07/31/10,07/20/10,"Buck Creek Freight Inc., Lusk, WY 82225",Worker was struck in the head when a pipe rack on an oil drilling rig failed/collapsed. At the time of the failure the employee was positioned under a portion of one of the support members for the pipe racks.
FY 2010,07/31/10,07/20/10,"Northeast Services, dba Horton Tree Services, Arlington, TX 76012","Worker was in bucket truck performing tree trimming services and fell 15 feet, hitting his head."
FY 2010,07/31/10,07/20/10,"Southwest Kidney-DaVita Dialysis Partners, LLC, Phoenix, AZ 85004",Worker became stuck in top opening of a 37-inch deep mixing tank. Was found unresponsive with head and torso in the tank.
FY 2010,07/31/10,07/22/10,"Mike Pihl Logging Company Inc., Vernonia, OR 97064",Worker drove off an embankment while driving a loaded log truck.
FY 2010,07/31/10,07/22/10,"Sevier Solid Waste Board Inc., Pigeon Forge, TN 38763","Worker was found crushed in a digester tube at a compost facility. Worker had previously been reported missing, and was found after a three-day search."
FY 2010,07/31/10,07/22/10,"Universal Linen Service LLC, Louisville, KY 40208",Worker was crushed when caught between an automatic laundry hopper on a shuttle conveyor and an industrial washing machine.
FY 2010,07/31/10,07/23/10,"Utili-Comm South, Inc., Terre Haute, IN 47802",Worker doing cable installation fell off ladder to the ground.
FY 2010,07/31/10,07/25/10,"Guardsmark LLC, Lima, OH 45804","Worker was using a powered vehicle conducting a routine security inspection. The vehicle rolled over, pinning the worker."
FY 2010,07/31/10,07/26/10,"Anson Mechanical Services, Inc., Polkton, NC 28135",Worker electrocuted while working on a residential air conditioning unit.
FY 2010,07/31/10,07/26/10,"APC Paper Co., Claremont, NH 03473","Worker was feeding paper to a paper reel winder, his hand got caught and he was pulled through, receiving crushing injuries."
FY 2010,07/31/10,07/26/10,"Larry Flint's Hustler Erotic Ultra Club, Las Vegas, NV 89118",Worker was replacing a tire on a skid steer loader when he was crushed between the bucket assembly and the main frame of the loader.
FY 2010,07/31/10,07/26/10,"Noe Barrillas & Jorge Barillas dba Barillas Drywall, Chattanooga, TN 37450","Worker, sanding the ceiling of a breezeway, fell approximately 30 feet from a third floor landing to the floor below. There were no guardrails in place, and the employee was not wearing fall protection at the time of the accident."
FY 2010,07/31/10,07/26/10,"Terik Roofing, Circleville, OH 43113",Worker was using a forklift to move a small dumpster to a larger dumpster. He got off the lift to adjust the dumpster and did not lower the lift or turn it off. The lift moved forward and crushed him.
FY 2010,07/31/10,07/26/10,"Transystems Corp., Independence, KS 67301",Worker was taking samples at a new road construction job-site and was struck by a dump truck or asphalt truck.
FY 2010,07/31/10,07/27/10,"Crisp & Crisp, Inc., Robbinsville, NC 28771","Worker was struck in the head by a metal pulley being used to drag fallen trees, when the nylon strap to which it was connected broke."
FY 2010,07/31/10,07/27/10,"SCUBA Bob, Coeur d'Alene, ID 83814",Worker was retrieving golf balls and drowned.
FY 2010,07/31/10,07/28/10,"Haasbach LLC, Mt. Carroll, IL 61053",Worker was engulfed in corn.
FY 2010,07/31/10,07/28/10,"Solar Testing Labs Inc., Richfield, OH 44286",Worker was performing paving work activities outside the established work zone and was struck by a passenger motor vehicle.
FY 2010,07/31/10,07/28/10,"Sure Heet Chimney Repair & Cleaning Co., Inc., New York, NY 10030",Worker was ascending to the roof and fell from the ladder.
FY 2010,07/31/10,07/29/10,"ABBTS, Inc., Baltimore, MD 21093","Worker struck in the head after a dead tree being cut down, fell on top of another tree, which fell on the worker."
FY 2010,07/31/10,07/29/10,"Paul McGrath Contracting, Los Angelas, CA 90272",Worker was buried in 11 feet of soil after a trench collapsed during the connection of piping for installation of a trench drain.
FY 2010,07/31/10,07/29/10,"Sturgeon Services International, Bakersfield, CA 93308",One worker was killed and another was injured after falling 20 feet when a scissor lift being used to attach a sling to an unsecured beam was knocked over when the beam tipped.
FY 2010,07/31/10,07/30/10,"AmerCable Inc., El Dorado, AR 71730",Worker was performing electrical testing and sustained injuries.
FY 2010,07/31/10,07/30/10,"Kinney Contractors Inc., Greenup, IL 62428",Worker was collecting TTC signs and was struck by a tractor trailer.
FY 2010,07/31/10,07/30/10,"Nagera Construction, Coldwater, MS 38618",Worker was operating an extended boom forklift to set roof trusses. He was driving on a sloped surface when the truss he was carrying dug into the ground. Worker raised the boom to get the truss out of the ground and the forklift became unstable.
FY 2010,08/07/10,07/03/10,"Town of Shelton Police Department, Shelton, CT 06484",A police officer was struck and killed by a vehicle while performing traffic control at a fireworks event.
FY 2010,08/07/10,07/12/10,"JJ Ferguson, Greenwood, MS  38930-0660",Worker was constructing a bridge and fell.
FY 2010,08/07/10,07/20/10,"Pryer's Topnotch Tree Service, Inc., Illiopolis, IL  62539",Worker was performing tree removal services and was standing on top of his bucket truck waiting to winch some logs.  Worker fell off the truck to the ground between some logs.
FY 2010,08/07/10,07/24/10,"City of Bridgeport Fire Department, Bridgeport, CT 06605",Two Bridgeport firefighters died in a house fire on the third floor on 7/24/2010.
FY 2010,08/07/10,07/26/10,"Your Preferred Real Estate, West Pointem CA 95255",Worker suffered brain injury after tripping over phone cord that got wrapped around his leg during a phone call and falling on right side.
FY 2010,08/07/10,07/30/10,"Blossman Gas Of North Carolina, Waynesville, NC 28786",Worker was delivering liquid propane to a residence when he was struck by a 500-gallon aboveground tank that dislodged and rolled on top of the worker.
FY 2010,08/07/10,07/30/10,"Crowley Puerto Rico Services, Inc., San Juan, PR  00902",Worker was in a roll-on roll-off (RO/RO) operation and was struck by an intermodal container.
FY 2010,08/07/10,07/30/10,"J & L Spray, Los Angelos, CA 90011",Worker was electrocuted after making contact with a truck that had a fallen powerline on it.
FY 2010,08/07/10,07/31/10,"Augie Gonzalez Tree Trimming, Brentwood, CA 90049",Worker electrocuted after making contact with power lines while trimming trees.
FY 2010,08/07/10,07/31/10,"USPS, Redlands, CA 92373",Worker was unloading a metal crate from a truck inside a loading dock when metal crate door unexpectantly opened.  Suffered fatal crushing injuries.
FY 2010,08/07/10,08/01/10,"Cardinal Building Systems, Inc., Atlantic Beach, FL  32233",Worker was performing steel erection and fell.
FY 2010,08/07/10,08/02/10,"DCD Construction, Inc., Moss Point, MS  39563","Worker was constructing curb and gutter work in preparation for a concrete pour.  Worker was found later, collapsed; hyperthermia was listed as cause of death."
FY 2010,08/07/10,08/03/10,"Hardwood Tree Service Corp., River Edge, NJ  07661",Worker fell 35 feet from a tree.
FY 2010,08/07/10,08/03/10,"Hartford Distributors, Inc., Manchester, CT  06040","Workplace violence; shots were fired, nine workers were killed."
FY 2010,08/07/10,08/03/10,"Mackaben Excavating, LLC, Spearfish, SD  57783",Worker was working in an excavation and the trench wall caved in on the worker.
FY 2010,08/07/10,08/03/10,"Robert Boitnott Painting, Jackson, MO  63755",Worker was in an aerial lift and made contact with an electrical wire.
FY 2010,08/07/10,08/04/10,"ABC Professional Tree Services, Vidor, TX  77662","Worker was piling up tree limbs and said he wasn't feeling well.  He sat under a tree and slumped over, possible heat stroke/medical condition."
FY 2010,08/07/10,08/04/10,"Creative Masonry, Johnstown, OH  43031",Two workers were working in a building that collapsed from high winds.
FY 2010,08/07/10,08/04/10,"George Ruiz dba American Mobile Home Services, Brownsville, TX  78521","Worker was working on a double-wide mobile home.  The jack failed and the mobile home shifted, crushing the worker."
FY 2010,08/07/10,08/04/10,"Hofmann Construction, Inc., Edgerton, OH  43517",Worker was struck by a interior block wall.
FY 2010,08/07/10,08/04/10,"Jack Gibson Construction Company, Brookville, PA  15825",Worker was crushed by a concrete form.
FY 2010,08/07/10,08/04/10,"Northwest Cable Construction, Oshkosh, WI  54901","Worker was working in a trench and the trench collapsed, burying the worker."
FY 2010,08/07/10,08/04/10,"Premier Timber Products, Inc., Moscow, TX  75960",Worker was complaining of being hot and was later found unresponsive.
FY 2010,08/07/10,08/04/10,"The Nexus Group, Tullahoma, TN 37388",Worker was electrocuted after making contact with a 7200 volt electric line while installing fiberoptic cable.
FY 2010,08/07/10,08/05/10,"B Trenchless, Avon, CO  81620",Worker was operating a boring auger machine that was located at the bottom of a trench and was struck by the boring auger machine.
FY 2010,08/07/10,08/05/10,"Riverside Contracting, Inc., Deer Lodge, MT  59756",Crew was using a bottom (belly) dump to lay a window of hot asphalt.  Worker was bent over with his back to the approaching belly dump and was struck and crushed by the wheels of the loaded belly dump.
FY 2010,08/07/10,08/05/10,"US Dept. of Agriculture, Natural Resources Conservation Service, White Sulphur Spgs, MT  59645","Worker was riding an all-terrain vehicle (ATV), and taking soil samples.  The ATV crested the top of a ditch, struck a boulder and overturned.  ATV landed on top of the worker."
FY 2010,08/07/10,08/06/10,"CB Richard Ellis, Cleveland, OH  44112",Worker was troubleshooting a humidity problem and fell from a ladder.
FY 2010,08/07/10,08/06/10,"Davenport Transportation Inc., Newton, NC  28658",Worker was reconnecting a trailer section that had come loose and was struck by another semi truck.
FY 2010,08/07/10,08/06/10,"Grace Utility, LLC, Houston, TX  77040",Worker collapsed after exiting a manhole.
FY 2010,08/14/10,07/01/10,"West Texas Oilfield Trucking, Odessa, TX  79766",Worker was using a broom handle to push ground wire into the live wire and caused an arch electrocution.
FY 2010,08/14/10,07/12/10,"Streb Construction Co. Inc., Iowa City, IA 52244",Worker run over by a dump truck while working as a laborer on a road construction project.
FY 2010,08/14/10,07/15/10,"Georgia Power Company, Alpharetta, GA  30009","Worker was working from a bucket in the process of removing a utility pole.  An auger was being used to widen the hole and remove the dirt. The auger hit a gas line and exploded, burning the worker."
FY 2010,08/14/10,08/05/10,"Ward Trucking Co., LLC., West Chester, PA  19380","Worker was unloading a skid, lost control, fell and hit his head on the ground."
FY 2010,08/14/10,08/06/10,"Sunstreet Mortgage, LLC., Tucson, AZ 85718",Worker fell and hit his head while trying to climb over a partition wall to gain entry into a locked adjoining office.
FY 2010,08/14/10,08/07/10,"City of Wyoming Police Department, Wyoming, IL 61491",Worker (Police Chief) involved in a motor vehicle accident with civilian driver. 
FY 2010,08/14/10,08/07/10,"Inket Fisheries, Fort Pierce, FL  39496",Worker was traveling in a boat and struck an intracoastal channel marker.  He was ejected from the boat and struck the pylon head first.
FY 2010,08/14/10,08/08/10,"North Central Power, Winter, WI  54862","Worker was repairing a 7200-volt, two-strand, electric distribution line and was electrocuted."
FY 2010,08/14/10,08/08/10,"Ralph's Machine Shop, Delano, CA 93215",Worker fell through roof of his business while attempting to fix an air conditioner.
FY 2010,08/14/10,08/09/10,"Alan Blackman, Griffin, GA  30224","Worker was working on a roof of a fire-damaged building.  He was on a ladder and slipped, falling from the upper roof to a lower roof, then to the asphalt 20 feet below."
FY 2010,08/14/10,08/09/10,"Bootz Industry, Evansville, IN 47712","Worker was operating a forklift when he hit a curb, becoming pinned under overturned forklift."
FY 2010,08/14/10,08/09/10,"California Baptist University, Riverside, CA 92504","Worker killed in vehicle accident en route to Mammoth, CA."
FY 2010,08/14/10,08/09/10,"City of Chicago Fire Department, Chicago, IL 60601",Worker fell from an iron rung ladder at the top of a 4-story building while carrying equipment up the ladder.
FY 2010,08/14/10,08/09/10,"Hentges Arborist Group Inc., Fulton, MO  65251",Worker contacted a power line and was electrocuted.
FY 2010,08/14/10,08/09/10,"Innovative Mattress Solutions LLC., Avon Lake, OH  44012",Worker was unloading mattresses and box springs and was stung by a bee.
FY 2010,08/14/10,08/09/10,"W.F. Wilson & Sons, Inc., Laurel, MD 20723",Worker was struck by the counterweight and revolving superstructure of an excavator when he walked between the excavator and a hillside.
FY 2010,08/14/10,08/10/10,"Acne Barricades, K.C., Jacksonville, FL  32221","Worker was underneath an attenuator truck releasing the cushing bed.  He released the bed and it fell on him, crushing him."
FY 2010,08/14/10,08/10/10,"Clarence Welti Associates, Inc., Waterbury, CT  06708","A drill rig lost footing and rolled down a hill, landing on the worker."
FY 2010,08/14/10,08/10/10,"Clements Dean Building Company, LLC., Talladega, AL  35160","Worker was removing a roof that was under renovation and fell through a section of galvanized sheet metal, 35 feet to the concrete floor."
FY 2010,08/14/10,08/10/10,"Village of Cowden Police Department, Cowden, IL 62422","Worker (police officer) died of injuries suffered after losing control of a police car which overturned during a chase, ejecting the officer."
FY 2010,08/14/10,08/11/10,"Rocky Plumbing, Alvin, TX  77511","Worker was working 10 feet below street level, cleaning dirt from a newly installed culvert, when the worker fainted."
FY 2010,08/14/10,08/11/10,"Sherwin-Williams - Store 1902, Richmond, KY 40475","Worker sustained fatal injuries after company truck, which worker was driving, was struck by an oncoming train."
FY 2010,08/14/10,08/11/10,"WATCO, North Kansas City, MO  64116",Worker was found slumped over against building.
FY 2010,08/14/10,08/12/10,"Burke Repo Outlet, North Webster, IN 46555",Worker was test-driving a cycle for a customer when he received fatal injuries from a traffic accident.
FY 2010,08/14/10,08/12/10,"Superior Boiler Works Inc., Hutchinson, KS  67504",Worker was sandblasting a metal plate.  The plate fell over and crushed him.
FY 2010,08/14/10,08/13/10,"Superior Coating VL, Farmersville, TX  75442",Worker fell 160 feet from water tower.
FY 2010,08/21/10,02/03/10,"General Plumbing, Inc., Waddell, AZ 85355","Plumber fell 20 feet through a ceiling to the floor below. Sustained abdominal injuries and severe fractures; died 6 months later, never fully recovering from injuries."
FY 2010,08/21/10,02/21/10,"Henson Robinson Company, Mossville, IL  61552",Worker was performing roofing activities and fell 40 feet to the concrete surface below.
FY 2010,08/21/10,06/16/10,"Smeller Machine, Highland Heights, OH  44143",Worker was working on a machine which was supported on the forks of a fork truck.  The machine shifted and fell off the fixture which was supporting the machine on the forks.  The machine fell on the worker.
FY 2010,08/21/10,07/16/10,"Plumb-Air Plumbing Inc., Walnut Cove, NC 27052",Worker was electrocuted while working underneath a residential home performing plumbing work.
FY 2010,08/21/10,07/20/10,"Stolt Tank Containers, Channelview, TX  77530",Worker was cleaning the tank of a diesel truck and was on top the tank car replacing a cap and fell from a height of more than 10 feet.
FY 2010,08/21/10,08/04/10,"Boral Bricks, Inc., Marshall, TX  75670",Worker collapsed with seizures.
FY 2010,08/21/10,08/11/10,"Pioneer Contracting Co. Inc., Baltimore, MD 21224","Two workers were walking on ramp of interstate, when one of the workers tried to cross/step over the jersey wall and fell 23 feet onto two concrete pipes."
FY 2010,08/21/10,08/13/10,"Homestead Property, Columbus, OH  43215","Worker was refurbishing a house and fell from a porch, down four steps onto cement."
FY 2010,08/21/10,08/13/10,"Pack's Inc., Morehead, KY 40351",Worker was electrocuted while installing a drop pole in an office cubicle in a state office building. Worker was wiring the whip for the power pole when the pole was energized.
FY 2010,08/21/10,08/13/10,"QuadGraphics, Dickson, TN 37055",Worker was seriously burned after becoming doused in solvent while operating a forklift near a solvent line. Employee left forklift to cut off solvent supply. Solvent ignited while en route to safety shower.
FY 2010,08/21/10,08/16/10,"Michael Jefferys, Washington, DC  20001",Worker was performing exterior painting and fell 20 feet out of a manlift.
FY 2010,08/21/10,08/16/10,"Scarborough Construction Inc., Grand Island, NE  68801",Worker was working from a manlift.  He was working below power lines and raised the bucket of the aerial lift into the power lines where his forehead contacted the power lines.
FY 2010,08/21/10,08/16/10,"Self Service, Inc. dba A&H Logging, Stouts Mills, WV  26439",Worker was felling a tree manually using a chain saw and was struck on the head by a limb from the tree.
FY 2010,08/21/10,08/16/10,"Super Mix of Wisconsin Inc., Kenosha, WI  53144",Worker was caught between rotating drum and loading hopper of a ready-mix truck.
FY 2010,08/21/10,08/18/10,"General Mills Inc., Albuquerque, NM 87113",Worker fell from catwalk or scaffold.
FY 2010,08/21/10,08/18/10,"Post Buckley Schuh and Hernigan Inc., Jourdanton, TX  78026",Worker was found unconscious; probable heat stroke.
FY 2010,08/21/10,08/19/10,"American Wrecking Inc., South El Monte, CA 91733",Worker was run over by a co-worker at a job site.
FY 2010,08/21/10,08/19/10,"APM Terminals, La Porte, TX  77571",Worker was standing behind his semi-tractor rig and attached chassis and was pinned against the chassis attached to his truck by another rig and chassis.
FY 2010,08/21/10,08/19/10,"Facilities Solutions Group, LLC., Austin, TX  78754",Worker was lying down near a location where a job meeting was to be held; worker was non-responsive.  Suspected heart attack.
FY 2010,08/21/10,08/19/10,"Ruppels Plumbing & Heating, Fort Morgan, CO  80701",Worker was performing solder work to repair a hot water heater leak and dropped burning solder onto the floor causing an explosion to occur.  Worker ran out of the house with severe burns.
FY 2010,08/21/10,08/19/10,"United Personnel, South Deerfield, MA  01373",Worker was elevated 25 feet in the air on a high-lift rider truck.  The truck was knocked over by a second fork truck and the worker struck his head on concrete.
FY 2010,08/21/10,08/19/10,"Valley Pools, Rancho Mirage, CA 92270","Reported as an electrocution; however, there is dispute about whether or not worker was electrocuted or became entangled in cord that fell in pool."
FY 2010,08/21/10,08/20/10,"Ricks Auto Repair, Barboursville, WV  25504","Worker was working underneath a vehicle.  The vehicle fell off the jack stands that were supporting it, crushing the worker."
FY 2010,08/21/10,08/20/10,"Stock Building Supply, Elkins, AR  72727",Worker was found pinned under the mast of an overturned 3-wheel powered industrial truck.
FY 2010,08/28/10,06/24/10,"Rocky Mountain Welding & Fabricating, Pleasant Grove, UT 84062",Worker struck in head from material falling from crane while fabricating tank in bender.
FY 2010,08/28/10,07/29/10,"All Hours Plumbing, Albuquerque, NM 87123",A plumber was electrocuted while performing repairs under a home.
FY 2010,08/28/10,08/13/10,"Grannis Construction, Detroit Lakes, MN 56505",Worker fell from catwalk while removing a hopper on a silo.
FY 2010,08/28/10,08/16/10,"Platt Hill Nursery Inc., Bloomingdale, IL  60108",Worker was eating lunch and swallowed a bee.
FY 2010,08/28/10,08/18/10,"Delta Air Lines, Inc., Dept. 025, Atlanta, GA  30320",Worker was operating a baggage tug and was ejected.
FY 2010,08/28/10,08/18/10,"Tom's Tire and Lube, Bronte, TX  76933",Worker was inflating a mounted semi-trailer tire and was struck on the crown of the head by the exploding tire.
FY 2010,08/28/10,08/19/10,"Humboldt Redwood Co/ Grove Construction, Scotia, CA 95565",Worker sustained fatal injuries after becoming pinned under a tree.
FY 2010,08/28/10,08/19/10,"Nashville Electric Services, Nashville, TN 37246",Worker electrocuted after making contact with live wire while moving lives from an old pole to a new one.
FY 2010,08/28/10,08/19/10,"Sam Mazzola, Columbia Station, OH  44028",Worker was attacked by a bear that he was feeding/training.
FY 2010,08/28/10,08/20/10,"Amberling Companies Inc., Youngstown, OH  44512",Worker was working on a security light and fell from a ladder.
FY 2010,08/28/10,08/20/10,"PG&E, Tuolumne, CA  95379","Worker was setting up a truck to auger a hole for a power pole.  While raising the drill, boom made contact with 17 KV overhead power line."
FY 2010,08/28/10,08/20/10,"Western Sales, Bunker Hill, KS  67626","Worker was performing salvage operations of an oil field tank battery following an explosion from a lightning strike.  During the salvage operations, there was hissing noise followed by an explosion, fatally injuring the worker."
FY 2010,08/28/10,08/21/10,"Genesis Wireless, Braham, MN 55006","Worker sustained fatal injuries after being struck in the head as a 4-wheel crane, which worker was in the back of, fell over while erecting a cell tower."
FY 2010,08/28/10,08/23/10,"Bechel Brothers Inc., Blair, WI  54616","Worker was unloading products from a truck.  While working from the top of the truck, fell and cracked head open."
FY 2010,08/28/10,08/23/10,"Foltz Welding Ltd., Vernon, IL  62892",Worker was struck on the head by a pipe that was being moved.
FY 2010,08/28/10,08/23/10,"Marzetti Co., Columbus, OH  43213",Worker was struck by a forklift and hit into a compressor.
FY 2010,08/28/10,08/23/10,"Moen Steel Erection, Sioux Falls, SD  57104","Worker was connecting a 36-foot steel beam to imbeds on a poured concrete wall.  The beam was being held by two clips.  The worker was sitting on top of the wall, the clips failed and the beam fell pullling the worker off the wall."
FY 2010,08/28/10,08/23/10,"R.L. Brink Corp., Rushville, IL  62681",Worker was engaged in road work and was struck by a vehicle.
FY 2010,08/28/10,08/23/10,"University of Illinois at Urbana-Champaign, Bartlett, IL 60103",Research assistant hit by train while studying the effects of the forest preserve on the surrounding wildlife.
FY 2010,08/28/10,08/24/10,"Chicago Architectural Metals Inc., Chicago, IL  60611",Worker climbed over a guardrail and fell through a floor hole.
FY 2010,08/28/10,08/24/10,"Goodmen Treemen, Westlake, OH  44145",Worker was cutting down wind damaged trees and a  60-foot tall tree fell on him.
FY 2010,08/28/10,08/24/10,"HMHS International, Inc., Kansas City, MO  64131",Worker was moving a large metal shelving unit and drove one wheel of the powered industrial truck off the edge of the dock platform.  Worker attempted to jump clear as the truck began to fall and struck and pinned to the concrete surface by the protective cage of the truck.
FY 2010,08/28/10,08/24/10,"JMF Company, Bettendorf, IA 52732",Worker crushed to death by a load of copper tubing after losing his balance when load came off the hook as it was being loaded on a flat bed semi.
FY 2010,08/28/10,08/24/10,"Robert Cobb Inc., Bessemer, AL  35020",Worker was part of a litter crew that was working along a roadway and was struck by a car.
FY 2010,08/28/10,08/24/10,"Spray Polyurethane Foam, El Paso, TX  79927",Worker was applying acrylic roof coating on a building roof and the section of the roof gave way due to corrosion.  Worker fell through the roof and landed on a concrete surface 30 feet below.
FY 2010,08/28/10,08/24/10,"Steve Wills Trucking & Logging, CA",Worker sustained fatal injuries after being hit by a log that became unsecured.
FY 2010,08/28/10,08/25/10,"Adam Tree Service, Inc., Greenwood, CO  80121",Worker was working in an aerial lift on a boom truck.  The boom snapped in half and the worker fell with the boom.
FY 2010,08/28/10,08/25/10,"Airmech, Inc., Murrieta, CA 92563",Worker crushed to death after getting pinned in a roll-up door that was closing.
FY 2010,08/28/10,08/26/10,"Mike Davis Concrete, Arlington, TX  76001",Worker was laying concrete and collapsed.
FY 2010,08/28/10,08/26/10,"Simplex Grinnell LP., Akron, OH  44333","Worker was re-locating sprinkler heads, working from a 10-foot step ladder, and fell four to six feet to the ground."
FY 2010,08/28/10,08/27/10,"Americold Logistics LLC., Russellville, AR  72802",Worker was using a stand up forklift to pull an order of frozen chicken from a 5 tier rack with 3 pallets per location.  Worker was found on the floor covered with bags and cases of frozen chicken.
FY 2010,08/28/10,08/27/10,"Hillsdale Elevator Company, Geneseo, IL  61254","Worker was unclogging auger openings in a grain bin.  The grain that was caked on the walls fell on the worker, engulfing him."
